Location,Job_Description,Sector,Eligibility,salary,Month,vacancies
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BCA  BSc  BTech BE  MSc  MCA,24000,8,100
HYDERABAD,SENIOR/JUNIOR JAVA DEVELOPER,IT/Software Development,BTech BE,80000,10,3
BENGALURU,SALES & MARKETING AGENT,Sales/Retail/Business Development,MSc  ME MTech,27000,2,15
HYDERABAD,SALES EXECUTIVE ,Sales/Retail/Business Development,MSc,20000,9,8
MUMBAI, ELECTRICAL / GENERATOR ENGINEER,Engineering,BTech BE  MCA,50000,2,3
MANSOURA,TELECOM ENGINEER,Engineering,MSc,50000,12,40
BENGALURU,RESEARCHER,Research,MSc,30000,6,40
BENGALURU,CALL CENTER AGENT ,Customer Service/Support,BBA  BCom,12000,3,80
NASR CITY,SENIOR PHP DEVELOPER,IT/Software Development,MSc,50000,6,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support,MA,20000,9,3
BENGALURU,ENGLISH TEACHER,Education/Training,10TH,200000,7,5
BENGALURU,WEB DEVELOPER,IT/Software Development,BTech BE  ME MTech,20000,4,2
HYDERABAD,INSTRUCTIONAL DESIGNER,Creative/Design,MSc,40000,0,15
BENGALURU,CUSTOMER CARE AGENT,Customer Service/Support,LLB,13000,12,4
BENGALURU,FRENCH TEACHER,Education/Training,MSc,150000,7,5
BENGALURU,JAVA DEVELOPER,IT/Software Development,Diploma,50000,0,8
BENGALURU,JAVA DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,10,8
BENGALURU,SOFTWARE QUALITY ENGINEER ,IT/Software Development,BTech BE MSc ME MTech ,60000,12,5
MAADI,SENIOR PRE SALES CONSULTANT  ,IT/Software Development,8TH,35000,11,5
BENGALURU,BUSINESS ANALYST,IT/Software Development,BSc  Diploma,70000,0,5
BENGALURU,TELESALES REPRESENTATIVE,Marketing,DMLT,60000,6,80
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE ,Customer Service/Support,BSc,38000,3,40
MAADI,SENIOR SALES CONSULTANT  ,IT/Software Development,BSc  Diploma,35000,1,5
MAADI,JUNIOR SALES CONSULTANT  - FRESH GRADUATE ,IT/Software Development,BSc,15000,2,5
BENGALURU,SYSTEM ENGINEER,Engineering,BSc  Diploma,35000,8,3
BENGALURU,ARCHITECTURE,Engineering,MSc,70000,0,3
BENGALURU,HEADMASTER,Education/Training,MSW,240000,7,2
BENGALURU,CUSTOMER SERVICE AGENT - RAYA CONTACT CENTER,Customer Service/Support,BSc,20000,8,100
BENGALURU,SALES ENGINEER,Sales/Retail/Business Development,BTech BE  ME MTech,50000,3,2
BENGALURU,MECHANICAL ENGINEER,Manufacturing/Production/Operations,BCA  BSc  PGDCA,20000,10,2
BENGALURU,SALES AND MARKETING EXECUTIVE,Sales/Retail/Business Development,MSc  ME MTech,25000,11,2
BENGALURU,OPERATIONS SUPPORT ENGINEER,IT/Software Development,MPhil PhD,60000,12,2
BENGALURU,PRESALES ENGINEER,IT/Software Development,MPhil PhD,80000,11,5
BENGALURU,UNIX ADMINISTRATOR,IT/Software Development,10TH,60000,6,5
BENGALURU,SOFTWARE DEVELOPMENT ENGINEER,IT/Software Development,BTech BE  ME MTech,50000,10,8
BENGALURU,SHAREPOINT DEVELOPERS,IT/Software Development,MBA PGDM,50000,6,8
BENGALURU,BUSINESS ANALYST,IT/Software Development,BSc ,70000,1,5
BENGALURU,CUSTOMER SERVICE AGENT ,Customer Service/Support,MSc  ME MTech  MCA,20000,10,15
BENGALURU,OPERATION PROJECT MANAGER,Engineering,10TH,150000,1,100
BENGALURU,SOCIAL MEDIA COMMUNITY & DIGITAL SALES MANAGER,Marketing,MSc  MPhil PhD,10000,8,2
BENGALURU,MARKETING CONSULTANT,Marketing,MSc,50000,5,3
BENGALURU,SW TESTER,IT/Software Development,BA  BCom  BSc,30000,10,15
BENGALURU,BUSINESS INTELLIGENCE ,IT/Software Development,LLB  LLM  MA  MSW,60000,12,5
MUMBAI,ENGINEERING MANAGER,Engineering, BTech BE PG MTech,90000,7,3
BENGALURU,SENIOR SALES ENGINEER,Sales/Retail/Business Development,BTech BE  ME MTech,70000,9,4
BENGALURU,SERVICE ENGINEER,Engineering,MS MD,30000,11,4
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,MPhil PhD,70000,6,5
BENGALURU,JUNIOR .NET DEVELOPER ,IT/Software Development,BAMS  BUMS,50000,8,2
BENGALURU,"(JAVA, ANDROID,SE ,EE ,ME, IOS) INSTRUCTOR",Education/Training,BSc  GNM,50000,5,5
BENGALURU,ORACLE SOLARIS UNIX,Education/Training,MSc  ME MTech  MVSC,50000,5,5
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,Diploma  12TH,50000,11,3
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,BSc  Diploma,50000,1,3
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,MBBS,45000,3,3
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,BA  BBA  BTech BE  Diploma  ITI,50000,3,3
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,BTech BE ,50000,11,3
BENGALURU,"GRAPHICS INSTRUCTOR "" ADOBE""",Education/Training,MPhil PhD,35000,6,5
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,MBBS,45000,4,3
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,BSc  MSc,45000,10,3
BENGALURU,GERMAN CUSTOMER SERVICE ADVISERS (VF),Customer Service/Support,10TH,35000,0,40
BENGALURU,CUSTOMER SERVICE ADVISER  (UK ACCOUNT) ,Customer Service/Support,MPhil PhD,30000,5,40
HYDERABAD,TOUR OPERATOR,Marketing,MBBS,0,2,3
BENGALURU,SENIOR PHP / DRUPAL DEVELOPER,IT/Software Development,Diploma  12TH,70000,3,2
BENGALURU,ACCOUNT MANAGER (ADVERTISING / CLIENT SERVICING),Marketing,MPhil PhD,50000,10,2
BENGALURU,ENGLISH TRANSLATORS,Editorial/Writing,BTech BE  MBA PGDM  MCA,30000,0,5
BENGALURU,ACCOUNT MANAGER,Sales/Retail/Business Development,BTech BE  MSc  ME MTech  MCA  MS,30000,12,8
MUMBAI,MEDICAL TRANSLATOR (ENGLISH TO ARABIC) ,Editorial/Writing,BA  BBA  BTech BE  Diploma  ITI  MBA PGDM  PG Diploma  MSW,15000,8,3
MUMBAI,ENGLISH TO ARABIC TRANSLATOR,Editorial/Writing,BTech BE,15000,0,5
BENGALURU,CUSTOMER SERVICE AGENT ,Customer Service/Support,MBBS,12000,9,40
BENGALURU,CUSTOMER SERVICE AGENT (SAUDI ARABIA ACCOUNT),Customer Service/Support,BTech BE,12000,11,40
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  MBA PGDM,12000,7,40
BENGALURU,TELE-SALES AGENT,Customer Service/Support,Diploma,20000,2,15
BENGALURU,HRMS APPLICATION CONSULTANT,IT/Software Development,MA,40000,7,2
BENGALURU,TECHNICAL SALES ENGINEER,Engineering,BTech BE  MBA PGDM,80000,3,3
BENGALURU,DOCUMENT ACCESSIBILITY REMEDIATOR,Administration,BTech BE  ME MTech,25000,2,3
BENGALURU,JUNIOR PHP DEVELOPER,IT/Software Development,MSc  ME MTech,20000,4,3
BENGALURU,TELESALES AND CUSTOMER SERVICE AGENT ,Customer Service/Support,Diploma,17000,8,2
BENGALURU,CONTENT EDITOR (COPYWRITER) ARABIC,Editorial/Writing,ITI,15000,3,2
BENGALURU,SENIOR BUSINESS INTELLIGENCE DEVELOPER,IT/Software Development,BTech BE,55000,11,2
BENGALURU,SOFTWARE DEVELOPER,IT/Software Development,MSc,40000,1,2
BENGALURU,INDOOR COORDINATOR,Administration,BPT,30000,3,2
BENGALURU,DISTRIBUTION PROMOTER,Marketing,Master of Dental Surgery,30000,9,4
BENGALURU,QUANTITY SURVEYOR,Engineering,MSc,70000,12,4
BENGALURU,ACCOUNT MANAGER,Sales/Retail/Business Development,MPhil PhD,30000,12,5
HYDERABAD,SENIOR ARCHITECT,Engineering,MSW,80000,3,2
HYDERABAD,MAINTENACE ENGINEER,Engineering,BTech BE  ME MTech,30000,0,2
BENGALURU,CUSTOMER CARE SUPPORT,Customer Service/Support,BTech BE  Diploma,24000,7,100
BENGALURU,QUALITY CONTROLLER,Quality Assurance/Quality Control,MA  MSc  MSW,20000,7,2
BENGALURU,TRAINING COORDINATOR,Customer Service/Support,BTech BE  MSc  ME MTech,15000,2,8
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,MBBS  12TH  8TH,14000,4,100
BENGALURU,MECHNICAL ENGINEER,Engineering,MSc  ME MTech,22000,7,3
BENGALURU,ELECTRICAL ENGINEER,Engineering,LLB,22000,1,3
BENGALURU,PHARMACIST  ,Customer Service/Support,BTech BE,25000,9,5
BENGALURU,PRE SALES ENGINEER,Sales/Retail/Business Development, BTech BE PG MCA ,30000,10,5
NASR CITY,PHP DEVELOPER,IT/Software Development,MBA PGDM,160000,10,5
BENGALURU,JUNIOR PHP DEVELOPER,IT/Software Development,BBA  BCom,30000,6,5
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development, BTech BE PG MTech,80000,12,3
HYDERABAD,SOCIAL MEDIA SPECIALIST,Marketing, BCom PG MBA PGDM ,25000,9,2
BENGALURU,PHP DEVELOPER,IT/Software Development, BSc ,50000,8,2
NEW BENGALURU,ARCHITECT,Engineering,MBBS,50000,6,3
HYDERABAD,PROJECT COORDINATOR,Project/Program Management,BSc BTech BE ,20000,3,2
BENGALURU,TELECOM ENGINEER / SOLUTION,Engineering,MPhil PhD,50000,10,4
BENGALURU,MARKETING OFFICER,Marketing,BPharma  BSc  BTech BE  MSc,30000,0,2
HYDERABAD,WEB DEVELOPER,IT/Software Development,MS MD,30000,12,5
HYDERABAD,SOCIAL MEDIA SPESIALIST,Marketing,BTech BE  ME MTech,30000,7,3
HYDERABAD,SEARCH ENGINE MARKETING SPECIALIST (SEO/SEM) ,Marketing,10TH,60000,1,3
BENGALURU,"SOFTWARE DEVELOPER (.NET, SHAREPOINT)",IT/Software Development,MSc,50000,1,3
BENGALURU,TELESALES REPRESENTATIVE,Sales/Retail/Business Development,CA,45000,10,8
BENGALURU,SOFTWARE DEVELOPER SHAREPOINT,IT/Software Development,MPharma  MSc  MPhil PhD,50000,3,4
BENGALURU,MARKETING SPECIALIST,Marketing,MS MD,18000,9,2
MANSOURA,.NET DEVELOPER,IT/Software Development,12TH,25000,2,40
BENGALURU,IOS DEVELOPER ,IT/Software Development,10TH,60000,11,3
BENGALURU,TECHNICAL OFFICE ENGINEER,Engineering,12TH,12000,3,2
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,BTech BE,25000,7,100
HYDERABAD,CREATIVE GRAPHICS DESIGNER,Creative/Design,MSc,30000,6,2
BENGALURU,ACCOUNT MANAGER,Sales/Retail/Business Development,MSc,25000,5,5
HYDERABAD,WRITER EDITOR,Editorial/Writing,Diploma  12TH  10TH  DMLT,25000,10,3
BENGALURU,FIBER OPTICS ENGINEER,Engineering,MBBS  DNB  MSc  MPhil PhD  MS MD  MCh,50000,10,5
BENGALURU,OPERATIONS & MAINTENANCE AREA MANAGER,Engineering,MS MD  MPH,100000,4,4
BENGALURU,SOFTWARE QUALITY ASSURANCE AND TESTER (WEB APPLICATIONS),Quality Assurance/Quality Control,ITI  12TH  10TH,30000,11,2
BENGALURU,WEB APPS CODER ,IT/Software Development,BCA  BPharma  BSc  BTech BE  Diploma  MSc  DMLT,20000,11,3
BENGALURU,WEB DEVELOPER,IT/Software Development,BDS  Diploma  BAMS  BHMS  MSc  PG Diploma  MPhil PhD,40000,0,2
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE ,Customer Service/Support,BSc  Diploma  GNM,38000,11,40
BENGALURU,TELESALES REPRESENTATIVE,Sales/Retail/Business Development,BSc  MBA PGDM  PG Diploma,60000,5,80
BENGALURU,IT HELP DESK CLERK ,IT/Software Development,BPharma  BSc  BTech BE  MBBS  Diploma  ITI  MSc  MBA PGDM  PG Diploma  MSW  DPharm,45000,12,15
BENGALURU,SENIOR GRAPHIC DESIGNER,Creative/Design,BTech BE  MSc  MPhil PhD,60000,11,3
BENGALURU,DATA ENTRY & IT TECHNICIAN ,Customer Service/Support,BTech BE  ME MTech,60000,12,2
BENGALURU,VISUAL MERCHANDISING SPECIALIST,Sales/Retail/Business Development, BTech BE PG MTech,25000,5,2
BENGALURU,RELATIONSHIP MANAGER,Customer Service/Support,BSc,100000,6,4
BENGALURU,JUNIOR SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,40000,2,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support,MBBS  MS MD  MCh,12500,8,100
BENGALURU,SENIOR PHP WEB APPLICATIONS DEVELOPER,Creative/Design,MSc  PG Diploma,50000,12,2
BENGALURU,CALL CENTER AND OPERATIONS AGENT ,Medical,BTech BE  Diploma,30000,0,2
BENGALURU,ADVERTISING ACCOUNT MANAGER ,Marketing,MBBS  MS MD,50000,7,3
HYDERABAD,IOS DEVELOPER,IT/Software Development,LLB,100000,9,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE  ME MTech,16000,8,100
BENGALURU,PROFESSIONAL ACCOUNT MANAGER,Customer Service/Support,BTech BE,100000,10,4
BENGALURU,SENIOR WEB DEVELOPER,IT/Software Development,MCA,75000,1,3
BENGALURU,CENTRO OPEN DAY,Customer Service/Support,MBBS,70000,7,100
HYDERABAD,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,ME MTech,24000,8,40
BENGALURU,PROFESSIONAL ACCOUNT MANAGER,Customer Service/Support,MSc,100000,9,4
BENGALURU,TECHNICAL SUPPORT SPECIALIST,Customer Service/Support,MSc,20000,7,15
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,MBBS  PG Diploma  MS MD,15000,0,15
BENGALURU,TELESALES AGENT,Sales/Retail/Business Development,LLM,10000,6,8
BENGALURU,GRAPHIC DESIGNER,Creative/Design,MPhil PhD,40000,10,2
SURAT,TRANSLATORS/LOCALIZERS,Editorial/Writing,10TH ,18000,8,5
BENGALURU,TELEMARKETING AGENT,Marketing, BCom ,15000,8,15
BENGALURU,WEB DEVELOPER,Engineering,12TH,35000,7,3
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,70000,1,5
BENGALURU,JUNIOR .NET DEVELOPER ,IT/Software Development,BTech BE  ME MTech,50000,3,2
HYDERABAD,WEB DESIGNER,Creative/Design, BTech BE ,70000,7,2
BENGALURU,SALES ENGINEER ,Sales/Retail/Business Development,BTech BE  ME MTech,60000,11,2
BENGALURU,RUBY ON RAILS DEVELOPER,IT/Software Development,BTech BE  ME MTech,40000,4,2
BENGALURU,JUNIOR DESIGNER,Creative/Design,BTech BE  ME MTech,20000,6,2
BENGALURU,SALES REPRESENTATIVE (LAMAR),Sales/Retail/Business Development,BTech BE  ME MTech,30000,12,8
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BSc  Diploma,15000,0,15
BENGALURU,MOBILE UX/UI DESIGNER,Creative/Design,BTech BE  ME MTech,60000,11,2
BENGALURU,JUNIOR WEB DEVELOPER ,IT/Software Development,BTech BE  MSc  MVSC,40000,8,3
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BSc,13000,3,80
BENGALURU,.NET DEVELOPMENT TEAM LEADER,IT/Software Development,BSc GNM MSc ,100000,9,2
HYDERABAD,SENIOR / JUNIOR USER INTERFACE DEVELOPER,IT/Software Development,BSc,40000,0,2
BENGALURU,JAVA DEVELOPER,IT/Software Development,BTech BE,60000,12,8
BENGALURU,SENIOR SALES ENGINEER,IT/Software Development,BTech BE  ME MTech,25000,9,2
BENGALURU,JUNIOR SALES ENGINEER ,IT/Software Development, BTech BE ,25000,6,2
ASSUIT,TECHNO COMMERCIAL ENGINEER ,Sales/Retail/Business Development,MSc,30000,2,2
BENGALURU,AUTOMOTIVE SERVICE ADVISOR ,Sales/Retail/Business Development,ME MTech,40000,10,8
BENGALURU,REQUIERD TO WORK AT QATAR,Sales/Retail/Business Development,BTech BE  Diploma,0,5,8
HYDERABAD,SCIENTIFIC PRESALES PROFESSIONAL,Marketing,BTech BE  Diploma,60000,11,3
BENGALURU,WEB DESIGNER,Creative/Design,BSc,25000,3,3
BENGALURU,UNIX/LINUX ADMIN,IT/Software Development,DNB  MS MD,70000,10,3
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE ,Customer Service/Support,MSc,38000,2,40
BENGALURU,TELESALES REPRESENTATIVE,Sales/Retail/Business Development,MSc,60000,4,80
BENGALURU,MICROSOFT SYSTEMS ENGINEER (MESSAGING),IT/Software Development,BSc,70000,0,3
BENGALURU,CALL CENTER AGENT,Customer Service/Support,MSc  MPhil PhD,16000,3,8
BENGALURU,SOFTWARE DEVELOPER,IT/Software Development,MPhil PhD,50000,4,3
BENGALURU,DIGITAL ACCOUNT MANAGER,Sales/Retail/Business Development,BTech BE  ME MTech,60000,8,3
BENGALURU,.NET SOFTWARE DEVELOPER,IT/Software Development,BTech BE  MBA PGDM,30000,5,2
BENGALURU,ACCOUNT EXECUTIVE,Sales/Retail/Business Development,Diploma,50000,3,3
BENGALURU,ACCESSIBILITY SPECIALIST,Administration,BDS  MBBS  MS MD  MPH,25000,1,3
HYDERABAD,QUALITY CONTROL ANALYST ,Quality Assurance/Quality Control,DNB  MS MD,30000,6,2
HYDERABAD,ANALYTICAL RESEARCH PHARMACIST ,Research,MS MD,30000,2,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support,DNB Pathology  MS MD  MCh,16000,12,8
HYDERABAD,SALES - HARDWARE ENGINEER - CRM,IT/Software Development,BSc  GNM,12000,5,80
BENGALURU,JUNIOR MOBILE DEVELOPER,IT/Software Development,BTech BE  MCA,20000,11,2
ALEX,PRE SALES ENGINEER,Sales/Retail/Business Development,MSc,20000,12,5
MUMBAI,PRE SALES ENGINEER (ALEX),Sales/Retail/Business Development,MSc,20000,10,5
ARISH,PRE SALES ENGINEER (ARISH),Sales/Retail/Business Development,MS MD,20000,5,5
ARISH,PRE SALES ENGINEER - ARISH,Sales/Retail/Business Development,MBBS,20000,10,5
PORT SAID,PRE SALES ENGINEER - PORT SAID,Sales/Retail/Business Development,BTech BE  ME MTech,20000,10,5
SHARM EL,PRE SALES ENGINEER (SHARM EL-SHEIKH),Sales/Retail/Business Development,MSc  MPhil PhD,20000,3,5
SUEZ,PRE SALES ENGINEER - SUEZ,Sales/Retail/Business Development,BTech BE  ME MTech,20000,7,5
ISMALIA,PRE SALES ENGINEER - ISMALIA,Sales/Retail/Business Development,ME MTech,20000,6,5
HYDERABAD,MOBILE DEVELOPER,IT/Software Development,BTech BE  ME MTech,70000,0,2
BENGALURU,ADVERTISING SALES EXECUTIVE,Sales/Retail/Business Development,BTech BE,35000,0,3
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  ME MTech,13000,2,40
BENGALURU,SENIOR PHP DEVELOPERS,Engineering,BTech BE  ME MTech,60000,2,4
BENGALURU,SENIOR PHP DEVELOPERS,Engineering,BTech BE,60000,0,4
BENGALURU,INTERIOR DESIGNER,Engineering,BTech BE,50000,6,3
HYDERABAD,TECHNICAL CONSULTANT ON PROJECT BASIS,Education/Training,BTech BE,70000,7,15
HYDERABAD,RESEARCH & DEVELOPMENT SPECIALIST,Research,BSc,25000,2,2
HYDERABAD,QUALITY ASSURANCE SPECIALIST,Quality Assurance/Quality Control,BSc,20000,9,4
BENGALURU,QUALITY CONTROL ENGINEER ,IT/Software Development,MS MD,40000,12,8
BENGALURU,TELEMARKETING EXECUTIVE ,Sales/Retail/Business Development,12TH,20000,8,3
MANSOURA,SALES REPRESENTATIVE,Sales/Retail/Business Development,BSc  GNM,25000,1,15
BENGALURU,CALL CENTER REPRESENTATIVE,Customer Service/Support,MBBS,25000,5,4
BENGALURU,CUSTOMER SERVICE AGENT.,Customer Service/Support,12TH,14000,7,100
BENGALURU,CONTACT CENTER REPRESENTATIVE,Customer Service/Support,DPharm,30000,8,40
BENGALURU,CUSTOMER SERVICE REPRESENTATIVES ,Customer Service/Support,BTech BE  Diploma,24000,8,15
BENGALURU,LEBANESE CONTACT CENTER REPRESENTATIVE,Customer Service/Support,MPhil PhD  MS MD  MCh,40000,6,2
BENGALURU,CONTACT CENTER REPRESENTATIVE,Customer Service/Support,MBA PGDM,16000,3,8
MANSOURA,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,BTech BE,10000,6,5
SURAT,QUALITY ASSURANCE SPECIALIST,Quality Assurance/Quality Control,10TH,15000,10,3
BENGALURU,TENANTS MANAGER,Marketing,BTech BE  ME MTech  MBA PGDM,50000,7,2
BENGALURU,MECHANICAL ENGINEER,Engineering,Diploma,20000,6,3
BENGALURU,ELECTRO-MECHANICAL ENGINEER,Engineering,BSc  BTech BE  MSc  MBA PGDM  PG Diploma,100000,0,2
HYDERABAD,SOCIAL MEDIA SPECIALIST ,Marketing,LLB  LLM,20000,7,4
HYDERABAD,QUALITY CONTROL ENGINEER,Engineering,BSc  MCom  MSc  MBA PGDM  PG Diploma  MSW,30000,10,3
HYDERABAD,MECHANICAL ENGINEER,Manufacturing/Production/Operations,BTech BE  ME MTech,30000,3,2
HYDERABAD,QUALITY CONTROL SPECIALIST  ,Quality Assurance/Quality Control,MSc,20000,3,3
BENGALURU,ADSL TECHNICAL SUPPORT AGENT,Customer Service/Support,10TH,18500,8,80
BENGALURU,BACK-END PHP DEVELOPER,IT/Software Development, BTech BE PG MTech,100000,8,2
BENGALURU,SERVERS S/W DEVELOPER,IT/Software Development,BSc,13000,8,2
HYDERABAD,ACCOUNT MANAGER,Sales/Retail/Business Development,BTech BE  ME MTech  MS,30000,4,4
BENGALURU,"CUSTOMER SERVICE AGENT ""VODAFONE"" UK",Customer Service/Support,Diploma,35000,9,100
BENGALURU,CALL CENTER AGENT,Customer Service/Support,ITI  10TH,20000,4,8
ASSIUT,JUNIOR SALES & TECHNO COMMERCIAL ENGINEER,Engineering,BTech BE  ME MTech,30000,5,2
MUMBAI,MARKET ANALYSIS SPECIALIST,Marketing,BTech BE  ME MTech,25000,12,2
BENGALURU,SW TECHNICAL SUPPORT ENGINEER,IT/Software Development,BSc,50000,12,8
HYDERABAD,JUNIOR TRANSLATOR,Administration,MSc  ME MTech  MVSC,15000,12,3
HYDERABAD,OFFICE ADMINISTRATOR  ,Administration,BTech BE  ME MTech,20000,2,8
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BTech BE  MCA,50000,0,5
BENGALURU,TELE MARKETING REPRESENTATIVE ,Marketing,12TH,25000,7,15
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development,MPhil PhD,90000,9,3
BENGALURU,TELESALES AGENT ,Sales/Retail/Business Development,BSc,12000,9,15
BENGALURU,TELESALES AGENT ,Sales/Retail/Business Development,BPharma  DPharm,30000,3,40
BENGALURU,SW TESTER (MS MTM OR TEST COMPLETE),Quality Assurance/Quality Control,BTech BE  ME MTech,50000,8,8
BENGALURU,MOBILE APPLICATION DEVELOPER,Engineering,10TH  8TH,15000,6,2
BENGALURU,SENIOR JAVA DEVELOPER ,IT/Software Development,BTech BE  ME MTech,70000,2,2
BENGALURU,RUBY ON RAILS DEVELOPER,IT/Software Development,MBBS  Diploma  DNB  MS MD,50000,0,2
BENGALURU,RUBY ON RAILS SOFTWARE ENGINEER,IT/Software Development,10TH,50000,8,2
BENGALURU,GRAPHIC DESIGNER,Creative/Design,BTech BE  MSc,30000,2,3
HYDERABAD,MECHANICAL SITE ENGINEER,Engineering,MPhil PhD,60000,9,2
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE ,Customer Service/Support,CA  ICWA,38000,12,40
BENGALURU,TELESALES REPRESENTATIVE,Sales/Retail/Business Development,BTech BE  ME MTech,60000,8,80
BENGALURU,SYSTEM ADMINISTRATOR ,IT/Software Development,MBBS  MS MD,45000,5,3
BENGALURU,SW .NET DEVELOPER,IT/Software Development,ME MTech  MBA PGDM  MPhil PhD,45000,3,8
BENGALURU,CUSTOMER SUPPORT AGENT,Customer Service/Support,BTech BE  MA  ME MTech  MCA,18000,3,4
